Organization,Category,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Status,Free Services,Paid Services,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Homeless Health Care (Venice Family Clinic),Mental Health,604 Rose Avenue,Los Angeles,CA,90291,33.9991486,-118.4715237,310-392-8636,Open,"medical care, outpatient treatment, mental health care",,11:00 AM - 23:00 PM,11:00 AM - 23:00 PM,11:00 AM - 23:00 PM,11:00 AM - 23:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Substance Use Treatment (SUMMIT) (Venice Family Clinic),Mental Health,,Los Angeles,CA,,,,310-392-8636,Open,,"addiction & recovery, outpatient treatment, substance abuse counseling, medications for addiction, case management, support groups",10:00 AM - 21:00 PM,10:00 AM - 21:00 PM,10:00 AM - 21:00 PM,10:00 AM - 21:00 PM,11:00 AM - 19:00 PM,Closed,Closed
Individuals Program (The Maple Counseling Center),Mental Health,"9107 Wilshire Blvd, Beverly Hills",Los Angeles,CA,90210,34.0673963,-118.3903395,310-271-9999,Not specified,,mental health care,12:00 PM - 11:59 PM,12:00 PM - 11:59 PM,12:00 PM - 11:59 PM,12:00 PM - 11:59 PM,12:00 PM - 20:00 PM,12:00 PM - 16:00 PM,Closed
Counseling Hotline for Women (NCJW/LA - Women Helping Women (WHW)),Mental Health,543 N Fairfax Ave,Los Angeles,CA,90036,34.0814455,-118.3617972,,Open,,counseling,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"HIV/AIDS Medical Care (Tarzana Treatment Centers, Inc. (TTC))",Mental Health,"5190 Atlantic Avenue, Long Beach",Los Angeles,CA,90805,33.8508284,-118.1838961,888-777-8565,Open,,"medical care, checkup & test, disease screening, counseling, hiv treatment, disease management, medication management, sexual and reproductive health, std/sti treatment & prevention, navigating the system, case management",0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
"Youth Intensive Outpatient Treatment (IOP) (Tarzana Treatment Centers, Inc. (TTC))",Mental Health,"5190 Atlantic Avenue, Long Beach",Los Angeles,CA,90805,33.8508284,-118.1838961,888-777-8565,Open,,"addiction & recovery, outpatient treatment, drug testing, substance abuse counseling, medications for addiction, group therapy, drug testing",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Breastfeeding Support (Nursing Mothers Counsel (NMC) Inc.),Mental Health,,Los Angeles,CA,,,,,Open,"parenting education, counseling, postnatal care, help hotlines, home visiting, one-on-one support, peer support, support groups, virtual support, medical supplies",,12:00 PM - 00:00 AM,12:00 PM - 00:00 AM,12:00 PM - 00:00 AM,12:00 PM - 00:00 AM,12:00 PM - 00:00 AM,12:00 PM - 00:00 AM,12:00 PM - 00:00 AM
Post-Deployment: Support Resources for Homecomings (American Red Cross),Mental Health,,Los Angeles,CA,,,,877-272-7337,Open,"health education, understand mental health, support network",,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,Closed,Closed
Suicide Prevention Hotline (The 988 Suicide & Crisis Lifeline),Mental Health,,Los Angeles,CA,,,,988,Open,"psychiatric emergency services, help hotlines, one-on-one support, virtual support",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Smoking Cessation Hotline (Kick It California (KIC)),Mental Health,,Los Angeles,CA,,,,800-300-8086,Open,"addiction & recovery, counseling, support network, help hotlines, one-on-one support, virtual support",,10:00 AM - 11:59 PM,10:00 AM - 11:59 PM,10:00 AM - 11:59 PM,10:00 AM - 11:59 PM,10:00 AM - 11:59 PM,12:00 PM - 20:00 PM,Closed
Adolescent and Young Adult Program (CancerCare),Mental Health,,Los Angeles,CA,,,,800-813-4673,Open,"bereavement, counseling, individual counseling, help hotlines, one-on-one support, support groups, virtual support",,9:00 AM - 19:00 PM,9:00 AM - 19:00 PM,9:00 AM - 19:00 PM,9:00 AM - 19:00 PM,9:00 AM - 19:00 PM,Closed,Closed
Online Support Groups (CancerCare),Mental Health,,Los Angeles,CA,,,,,Open,"bereavement, support groups, support network, virtual support",,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,Closed,Closed
One-on-One Peer Counseling (Support Connection),Mental Health,,Los Angeles,CA,,,,800-532-4290,Open,"health education, counseling, one-on-one support, peer support, virtual support",,9:00 AM - 17:00 PM,9:00 AM - 17:00 PM,9:00 AM - 17:00 PM,9:00 AM - 17:00 PM,9:00 AM - 17:00 PM,Closed,Closed
Grief Support (Bereaved Parents of the USA (BPUSA)),Mental Health,,Los Angeles,CA,,,,,Open,"bereavement, peer support, support groups",,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,Closed,Closed
Counseling (Casa de la Familia (CDLF)),Mental Health,3550 Wilshire Boulevard,Los Angeles,CA,90010,34.0610984,-118.3022677,877-611-2272,Open,,"mental health care, counseling",12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed
Psychological Counseling (Program for Torture Victims (PTV)),Mental Health,3550 Wilshire Boulevard,Los Angeles,CA,90010,34.0616398,-118.302475,213-384-4788246,Open,,"mental health care, group therapy, family counseling, individual counseling, mental health evaluation, virtual support",13:00 PM - 19:00 PM,13:00 PM - 19:00 PM,13:00 PM - 19:00 PM,13:00 PM - 19:00 PM,Closed,Closed,Closed
Mental Health Services (Aviva),Mental Health,3580 Wilshire Boulevard,Los Angeles,CA,90010,34.0611215,-118.3028158,213-637-50003753,Open,"outpatient treatment, bereavement, counseling, mental health care, anger management, family counseling, individual counseling, medications for mental health, mental health evaluation, food pantry, adoption & foster care, adoption & foster placement, adoption & foster parenting, post-adoption support",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Children and Family Services - Pico-Robertson Family Resource Center (Jewish Family Service of Los Angeles (JFSLA)),Mental Health,8838 West Pico Boulevard,Los Angeles,CA,90035,34.054665,-118.384799,877-275-4537,Open,,"counseling, navigating the system, support groups",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Full Service Partnership Program (Heritage Clinic),Mental Health,3600 Wilshire Boulevard,Los Angeles,CA,90010,34.0605163,-118.3036379,213-382-4400,Open,,"mental health care, counseling, individual counseling, mental health evaluation, case management",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Transitional Supportive Housing - The Barracks (Volunteers of America Los Angeles (VOALA)),Mental Health,3600 Wilshire Boulevard,Los Angeles,CA,90010,34.0605163,-118.3036379,213-389-1500,Open,"short-term housing, daily life skills, mental health care, understand government programs, navigating the system, one-on-one support",,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed
Prevention and Early Intervention (PEI) Program (Heritage Clinic),Mental Health,3600 Wilshire Boulevard,Los Angeles,CA,90010,34.0605163,-118.3036379,213-382-44000,Open,,"counseling, mental health care, individual counseling",11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,Closed,Closed
Korean Integrated Service Management Model (Koreatown Youth And Community Center (KYCC)),Mental Health,3727 West 6th Street,Los Angeles,CA,90020,34.0638656,-118.3037834,213-365-7400,Open,,"substance abuse counseling, mental health care, individual counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Family Preservation Program (Koreatown Youth And Community Center (KYCC)),Mental Health,3727 W 6th St,Los Angeles,CA,90020,34.0638657,-118.3037835,2133657400,Not specified,,counseling,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Prevention & Early Intervention Services (Koreatown Youth And Community Center (KYCC)),Mental Health,3727 W 6th St,Los Angeles,CA,90020,34.0638657,-118.3037835,213-365-7400,Open,,"mental health care, add/adhd",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Support Groups (Cancer Support Community),Mental Health,,Los Angeles,CA,,,,888-557-3177,Open,"counseling, group therapy, support network, support groups",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Emergency Mental Health Care for Veterans (U.S. Department of Veterans Affairs),Mental Health,,Los Angeles,CA,,,,-,Open,"help pay for healthcare, psychiatric emergency services, mental health care, understand government programs, navigating the system",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Asian Smokers' Quitline (ASQ) (University of California San Diego),Mental Health,,Los Angeles,CA,,,,,Open,"addiction & recovery, health education, prevent & treat, counseling, navigating the system, help hotlines",,10:00 AM - 00:00 AM,10:00 AM - 00:00 AM,10:00 AM - 00:00 AM,10:00 AM - 00:00 AM,10:00 AM - 00:00 AM,Closed,Closed
NAMI Basics (National Alliance on Mental Health (NAMI) California),Mental Health,,Los Angeles,CA,,,,916-567-0163,Open,"understand mental health, navigating the system, support groups, more education",,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,Closed,Closed
Prison Ministry (Touch of Love/New Beginnings),Mental Health,,Los Angeles,CA,,,,951-485-0226,Open,"substance abuse counseling, family counseling, individual counseling, support network, spiritual support, skills & training, specialized training",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Outpatient Treatment Services (Impact Treatment Center),Mental Health,3217 North Eastern Avenue,Los Angeles,CA,90032,34.0823819,-118.178389,213-625-5009,Open,,"addiction & recovery, 12-step, outpatient treatment, drug testing, substance abuse counseling, mental health care, group therapy, family counseling, individual counseling, navigating the system",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Telecare Downtown LA (Telecare Corporation),Mental Health,600 St Paul Ave,Los Angeles,CA,90017,34.05313,-118.2606826,213-482-6400,Not specified,,"mental health evaluation, prevent & treat, financial education, navigating the system, support network, one-on-one support, skills & training",11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,Closed,Closed
"Deaf, Disabled & Elder (DDE) Services program (Peace Over Violence)",Mental Health,"892 North Fair Oaks Avenue, Pasadena",Los Angeles,CA,91103,34.1610795,-118.1504012,213-785-2684,Not specified,,"counseling, navigating the system, help hotlines, one-on-one support, support groups, more education, alternative education, skills & training, advocacy & legal aid",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Intervention Program (Peace Over Violence),Mental Health,"892 North Fair Oaks Avenue, Pasadena",Los Angeles,CA,91103,34.1610795,-118.1504012,626-793-3385,Not specified,"counseling, individual counseling",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Recuperative Care for the Homeless in Los Angeles (Horizon Recuperative Care),Mental Health,10900 South Vermont Avenue,Los Angeles,CA,90044,33.9371465,-118.2915811,323-676-1000,Open,"government food benefits, short-term housing, transportation for healthcare, understand mental health, medical care, checkup & test, medication management, mental health evaluation, community support services, navigating the system, case management, daily life skills",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Emergency Services (CHA Hollywood Presbyterian Medical Center),Mental Health,1300 North Vermont Avenue,Los Angeles,CA,90027,34.0963224,-118.2903015,213-413-3000,Open,,"medical care, prevent & treat, hospital treatment, checkup & test",0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
"Walking In A New Direction (United American Indian Involvement, Inc.)",Mental Health,1125 W 6th St,Los Angeles,CA,90017,34.0546408,-118.2627668,213-202-39707178,Not specified,"addiction & recovery, substance abuse counseling, drug testing",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
The Ark Program (SHIELDS for Families),Mental Health,"2620 Industry Way, Lynwood",Los Angeles,CA,90262,33.9233014,-118.2258901,323-242-5000,Open,,"outpatient treatment, food pantry, clothing, addiction & recovery, residential treatment, daily life skills, parenting education, mental health care, counseling, substance abuse counseling, family counseling, individual counseling, drug testing, navigating the system, one-on-one support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Heros & Sheros (SHIELDS for Families),Mental Health,"15116 South Gibson Avenue, Compton",Los Angeles,CA,90221,33.8956186,-118.1885303,323-242-50004133,Open,,"psychiatric emergency services, group therapy, family counseling, individual counseling, drug testing, recreation, navigating the system, support network, one-on-one support, tutoring",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Exodus (SHIELDS for Families),Mental Health,"1746 East Kay Street, Compton",Los Angeles,CA,90221,33.9043611,-118.2054009,323-242-50004122,Open,,"addiction & recovery, residential treatment, health education, daily life skills, parenting education, mental health evaluation, group therapy, substance abuse counseling, family counseling, individual counseling, one-on-one support, support groups, more education",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Fatherhood After Loss (FAL) Sessions (Sad Dads Club),Mental Health,,Los Angeles,CA,,,,,Open,"bereavement, support network, support groups, virtual support",,Closed,20:30 PM - 21:30 PM,Closed,Closed,Closed,Closed,Closed
Grief Support Groups (Visiting Nurse Association (VNA) Hospice & Palliative Care of Southern California),Mental Health,,Los Angeles,CA,,,,909-447-7241,Open,"bereavement, support groups",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Post Traumatic Stress Retreats (National Veterans Wellness & Healing Center In Angel Fire),Mental Health,,Los Angeles,CA,,,,575-377-5236,Open,"alternative medicine, exercise & fitness, counseling, specialized therapy, recreation, overnight camp",,10:00 AM - 19:00 PM,10:00 AM - 19:00 PM,10:00 AM - 19:00 PM,10:00 AM - 19:00 PM,10:00 AM - 19:00 PM,Closed,Closed
Youth Mentoring Program (Tuesday's Children),Mental Health,,Los Angeles,CA,,,,,Open,"bereavement, mentoring, one-on-one support, virtual support",,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,Closed,Closed
Camp Sunshine (Camp Sunshine),Mental Health,,Los Angeles,CA,,,,207-655-3800,Open,"bereavement, day camp, recreation, relief for caregivers, support network, bereavement",,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,Closed,Closed
Live Again Recovery Homes (Live Again Recovery Homes),Mental Health,,Los Angeles,CA,,,,661270-0025,Not specified,"addiction & recovery, exercise & fitness, substance abuse counseling, individual counseling, support network, spiritual support, support groups",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Individual and Group Support (La Cañada Presbyterian Church),Mental Health,"626 Foothill Blvd, La Cañada Flintridge",Los Angeles,CA,91011,34.2004768,-118.1929484,818-790-6708229,Open,,"12-step, counseling, spiritual support, support groups",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
TAY Outpatient Treatment (The Los Angeles Centers for Alcohol and Drug Abuse (L.A. CADA)),Mental Health,"10210 Orr and Day Road, Santa Fe Springs",Los Angeles,CA,90670,33.9441558,-118.090203,562-348-0083,Open,,"addiction & recovery, outpatient treatment, drug testing, substance abuse counseling, health education, group therapy, family counseling, individual counseling, case management",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Pediatric Services (Mission City Community Network, Inc (MCCN))",Mental Health,15206 Parthenia Street,Los Angeles,CA,91343,34.2279532,-118.4636014,818895-3100,Not specified,,"dental care, medical care, primary care, checkup & test, prevent & treat, mental health care",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Senior Enrichment Center (ONEgeneration),Mental Health,18255 Victory Boulevard,Los Angeles,CA,91335,34.1871721,-118.5311566,818-705-2345,Temporarily closed,"meals, nutrition education, transportation, medical care, exercise & fitness, counseling, recreation, more education, skills & training, advocacy & legal aid",,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Crisis Support Team Program (The Agape International Spiritual Center),Mental Health,"8440 Wilshire Boulevard, Beverly Hills",Los Angeles,CA,90211,34.064454,-118.3749309,310-348-12601281,Temporarily closed,"counseling, support network, one-on-one support",,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Anger Management (Valley Vineyard Christian Fellowship),Mental Health,6642 Reseda Blvd,Los Angeles,CA,91335,34.191297,-118.5355435,818-776-9696,Not specified,anger management,,Closed,12:00 PM - 20:45 PM,12:00 PM - 20:45 PM,12:00 PM - 20:45 PM,12:00 PM - 20:00 PM,Closed,Closed
Intervention (Fred Brown Recovery Services),Mental Health,270 West 14th Street,Los Angeles,CA,90731,33.731744,-118.282871,310-519-8723,Not specified,"individual counseling, support network",,12:00 PM - 19:00 PM,12:00 PM - 19:00 PM,12:00 PM - 19:00 PM,12:00 PM - 19:00 PM,12:00 PM - 19:00 PM,Closed,Closed
Tree of Life Christian Church Counseling (Tree Of Life Christian Church),Mental Health,9453 Wilbur Ave,Los Angeles,CA,91324,34.242464,-118.545352,818-427-1182,Not specified,"parenting education, counseling, anger management, family counseling, skills & training",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Wellness and Recovery (Bridges, Inc.)",Mental Health,"1977 N Garey Ave, Pomona",Los Angeles,CA,91767,34.0819768,-117.7530912,909-623-6651,Not specified,"mental health care, one-on-one support, skills & training, advocacy & legal aid",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
John E. White House of Hope (Hope the Mission),Mental Health,,Los Angeles,CA,,,,818-392-0020,Open,"residential housing, short-term housing, addiction & recovery, residential treatment, support network, spiritual support, skills & training, specialized training",,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,Closed,Closed
Transition-Age Youth (TAY) Program (Mental Health America of Los Angeles (MHALA)),Mental Health,"2025 East 7th Street, Long Beach",Los Angeles,CA,90804,33.7756172,-118.1670544,562-284-0108,Open,"help find housing, daily life skills, mental health care, counseling, group therapy, family counseling, individual counseling, medications for mental health, navigating the system, skills & training, help find work",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Mother / Child Residential Treatment (Didi Hirsch Mental Health Services),Mental Health,11643 Glenoaks Boulevard,Los Angeles,CA,91331,34.2810285,-118.4204886,888-807-7250,Open,,"addiction & recovery, residential treatment, help find housing, sober living, 12-step, substance abuse counseling, parenting education, medical care, specialized therapy, mental health care, family counseling, mental health evaluation, support groups, help find work, advocacy & legal aid",11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,Closed,Closed
"Adult Residential Alcohol and Drug Treatment Program (Tarzana Treatment Centers, Inc. (TTC))",Mental Health,18646 West Oxnard Street,Los Angeles,CA,91356,34.1795005,-118.5398534,888-777-8565,Open,,"addiction & recovery, residential treatment, health education, understand mental health, primary care, individual counseling, mental health evaluation, std/sti treatment & prevention, hiv treatment, recreation",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Multipurpose Senior Services Program (MSSP) (Partners in Care Foundation),Mental Health,"732 Mott Street, San Fernando",Los Angeles,CA,91340,34.2763813,-118.4445596,818-837-3775162,Open,"food delivery, meals, help find housing, transportation, counseling, daytime care, adult daycare, relief for caregivers, navigating the system, case management, support network, home visiting, advocacy & legal aid",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Chronic Medical Conditions (San Fernando Community Health Center (SFCHC)),Mental Health,"732 Mott Street, San Fernando",Los Angeles,CA,91340,34.276386,-118.444554,818-963-5690,Open,,"medical care, residential treatment",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
The Learning Center (Valley Family Center),Mental Health,"302 South Brand Boulevard, San Fernando",Los Angeles,CA,91340,34.2804897,-118.4407317,818-365-8588,Open,"individual counseling, support groups, more education, tutoring, skills & training",,11:30 AM - 23:00 PM,11:30 AM - 23:00 PM,11:30 AM - 23:00 PM,11:30 AM - 23:00 PM,11:30 AM - 17:00 PM,Closed,Closed
POMC California Chapter (Parents of Murdered Children (POMC)),Mental Health,350 West 5th Street,Los Angeles,CA,90731,33.7398745,-118.2851643,,Open,"bereavement, support network, peer support, support groups",,Closed,Closed,Closed,Closed,Closed,15:00 PM - 16:30 PM,Closed
Residential Program (Fred Brown Recovery Services),Mental Health,270 West 14th Street,Los Angeles,CA,90731,33.7317462,-118.2828884,310-519-8723,Open,,"12-step, residential treatment, daily life skills, anger management, counseling, family counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Homebound - Older Adult Field Capable Clinical Services (OAFCCS) (San Fernando Valley Community Mental Health Center, Inc.)",Mental Health,16360 Roscoe Boulevard,Los Angeles,CA,91406,34.2208807,-118.4890488,818-374-6901,Not specified,"addiction & recovery, mental health evaluation, mental health care, medications for mental health, navigating the system, support network, one-on-one support",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Family Links/North Valley Youth & Family Center (San Fernando Valley Community Mental Health Center, Inc.)",Mental Health,,Los Angeles,CA,,,,818-361-5030,Not specified,,"psychiatric emergency services, specialized therapy, mental health care, group therapy, navigating the system, one-on-one support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Multi-Disciplinary Assessment Team (MAT) (San Fernando Valley Community Mental Health Center, Inc.)",Mental Health,16360 Roscoe Boulevard,Los Angeles,CA,91406,34.22065,-118.490803,818361-5030,Not specified,"dental care, medical care, specialized therapy, mental health care, navigating the system, alternative education, skills & training",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Hamlin FCCS / Independent Living Services (San Fernando Valley Community Mental Health Center, Inc.)",Mental Health,16360 Roscoe Boulevard,Los Angeles,CA,91406,34.22065,-118.490803,818-373-4993,Not specified,,"medical care, counseling, mental health care, financial education, navigating the system, one-on-one support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Diversion 50 (San Fernando Valley Community Mental Health Center, Inc.)",Mental Health,16360 Roscoe Boulevard,Los Angeles,CA,91406,34.22065,-118.490803,818855-2270,Not specified,mental health care,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Ida Kayne Transitional Care Unit (Los Angeles Jewish Home - Brandman Centers for Senior Care (BCSC)),Mental Health,18855 Victory Boulevard,Los Angeles,CA,91335,34.187711,-118.543706,818-774-3308,Not specified,,"nutrition education, medical care, counseling, physical therapy, specialized therapy, individual counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Family Support Services (Covina Development Center),Mental Health,"240 South Grand Avenue, Covina",Los Angeles,CA,91724,34.084092,-117.871223,626-967-7153,Not specified,"individual counseling, recreation",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Outreach Program (Rainbow Services),Mental Health,453 W 7th St,Los Angeles,CA,90731,33.7375895,-118.2868518,310-547-9343,Not specified,"counseling, group therapy, individual counseling, recreation, navigating the system, one-on-one support, advocacy & legal aid",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Art Therapy (Women's Creative Therapy),Mental Health,12304 Santa Monica Boulevard,Los Angeles,CA,90025,34.0390948,-118.4653188,310-922-3957,Open,,"specialized therapy, mental health care, individual counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
