Organization,,Category,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Status,Free Services,Paid Services,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Counseling (Circle Counseling),2,Mental Health,4617 Woodland Avenue,Philadelphia,PA,19143,39.9442213,-75.2103561,267-254-0015,Open,,"Substance Abuse Counseling, Bereavement, Parenting Education, Understand Mental Health, Counseling, Mental Health Care, Anger Management, Family Counseling, Individual Counseling, Mental Health Evaluation, Outpatient, Treatment, Group Therapy",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Counseling (Circle Counseling),2,Food Bank,1226 South Broad Street,Philadelphia,PA,19146,39.9348359,-75.1677853,267-254-0015,Open,,"Substance Abuse Counseling, Bereavement, Parenting Education, Understand Mental Health, Counseling, Mental Health Care, Anger Management, Family Counseling, Individual Counseling, Mental Health Evaluation",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Emergency Disaster Services (Salvation Army Eastern Pennsylvania and Delaware; Temporary Shelter),2,Temporary Shelter,701 North Broad Street,Philadelphia,PA,19123,39.9672863,-75.1599648,215-825-4631,Open,"Disaster Response, Emergency Food, Temporary Shelter, Clothing, Spiritual Support",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Emergency Disaster Services (Salvation Army Eastern Pennsylvania and Delaware; Food Bank),2,Food Bank,701 North Broad Street,Philadelphia,PA,19123,39.9672863,-75.1599648,215-825-4631,Open,"Disaster Response, Emergency Food, Temporary Shelter, Clothing, Spiritual Support",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Homeless Shelter (Stenton Family Manor; Temporary Shelter),2,Temporary Shelter,1300 East Tulpehocken Street,Philadelphia,PA,19119,39.9724306,-75.1736662,215-685-2800,Open,"Temporary Shelter, Meals, Personal Hygiene",,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed
Homeless Shelter (Stenton Family Manor; Food Bank),2,Food Bank,1300 East Tulpehocken Street,Philadelphia,PA,19119,40.0559837,-75.1647762,215-685-2800,Open,"Temporary Shelter, Meals, Personal Hygiene",,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed
Jane Addams Place (Lutheran Settlement House; Temporary Shelter),2,Temporary Shelter,1007 West Lehigh Avenue,Philadelphia,PA,19133,39.9935476,-75.1482898,215-387-2587,Open,"Temporary Shelter, Case Management, Health Education, Parenting Education, Medical Care, Mental Health Care, Recreation, Navigating the System, Help Find Housing",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Jane Addams Place (Lutheran Settlement House; Food Bank),2,Food Bank,1007 West Lehigh Avenue,Philadelphia,PA,19133,39.9935476,-75.1482898,215-387-2587,Open,"Temporary Shelter, Case Management, Health Education, Parenting Education, Medical Care, Mental Health Care, Recreation, Navigating the System, Help Find Housing",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Mental Health Counseling (The Attic Youth Center; Mental Health),2,Mental Health,255 South 16th Street,Philadelphia,PA,19145,39.9477596,-75.1678542,215-545-43312,Open,"Substance Abuse Counseling, Counseling, Mental Health Care, Anger Management, Group Therapy, Family Counseling, Individual Counseling, Outpatient, Treatment",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Open
Mental Health Counseling (The Attic Youth Center; Food Bank),2,Food Bank,255 South 16th Street,Philadelphia,PA,19145,39.9477596,-75.1678542,215-545-43312,Open,"Substance Abuse Counseling, Counseling, Mental Health Care, Anger Management, Group Therapy, Family Counseling, Individual Counseling, Virtual Support",,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed
Miracles In Progress (The Behavioral Wellness Center at Girard; Mental Health),2,Mental Health,801 West Girard Avenue,Philadelphia,PA,19122,39.9712194,-75.149293,215-787-2482,Open,"Substance Abuse Counseling, Residential Treatment, Outpatient, Treatment, Group Therapy, Individual Counseling",,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,Closed
Miracles In Progress (The Behavioral Wellness Center at Girard; Food Bank),2,Food Bank,801 West Girard Avenue,Philadelphia,PA,19122,39.9712194,-75.149293,215-787-2482,Open,"Substance Abuse Counseling, Residential Treatment",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Substance Abuse Intervention (Women In Transition; Mental Health),2,Mental Health,21 South 12th Street,Philadelphia,PA,19107,39.9509969,-75.1597902,215-751-1111,Open,"Addiction & Recovery, Substance Abuse Counseling, Outpatient, Treatment, Group Therapy, Individual Counseling",,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed,Closed
Substance Abuse Intervention (Women In Transition; Food Bank),2,Food Bank,21 South 12th Street,Philadelphia,PA,19107,39.9509969,-75.1597902,215-751-1111,Open,"Addiction & Recovery, Substance Abuse Counseling",,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed
My Brothers House (Bethesda Project; Temporary Shelter),3,Temporary Shelter,609 South 15th Street,Philadelphia,PA,19146,39.9435134,-75.1671526,215-985-1600,Open,"Temporary Shelter, Safe Housing, Mental Health Care, Substance Abuse Counseling, Meals, Navigating the System, Case Management",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
My Brothers House (Bethesda Project; Mental Health),3,Mental Health,609 South 15th Street,Philadelphia,PA,19146,39.9435134,-75.1671526,215-985-1600,Open,"Temporary Shelter, Safe Housing, Mental Health Care, Substance Abuse Counseling, Outpatient, Treatment, Group Therapy, Individual Counseling",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
My Brothers House (Bethesda Project; Food Bank),3,Food Bank,609 South 15th Street,Philadelphia,PA,19146,39.9435134,-75.1671526,215-985-1600,Open,"Temporary Shelter, Safe Housing, Mental Health Care, Substance Abuse Counseling, Meals, Navigating the System, Case Management",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Social Security Administration,8,Social Security Office,"1500 John F. Kennedy Blvd, Two Penn Center, Suite 2000A",Philadelphia,PA,19102,39.9535172,-75.16578524,(866) 613-3969; (800) 772-1213,Open,"Apply for Benefits (Retirement, Disability, SSI, Medicare), Appeal a Decision, Request Replacement Cards (Social Security, Change Address/Direct Deposit, Print Proof of Benefits, Get Replacement 1099, Review Earnings History, Get Benefit Estimates","ATM Withdrawals (after first free), Paper Statements, Funds Transfer, Card Replacement (after first free), Overnight Card Delivery, International Transactions",9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Closed,Closed
Social Security Administration,8,Social Security Office,701 East Chelten Avenue,Philadelphia,PA,19144,40.04479683,-75.16592313,(866) 495-0255; (800) 772-1213,Open,"Apply for Benefits (Retirement, Disability, SSI, Medicare), Appeal a Decision, Request Replacement Cards (Social Security, Change Address/Direct Deposit, Print Proof of Benefits, Get Replacement 1099, Review Earnings History, Get Benefit Estimates","ATM Withdrawals (after first free), Paper Statements, Funds Transfer, Card Replacement (after first free), Overnight Card Delivery, International Transactions",9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Closed,Closed
Social Security Administration,8,Social Security Office,"9300 Ashton Road, Unit 4",Philadelphia,PA,19114,40.06735692,-75.01854025,(866) 331-7840; (800) 772-1213,Open,"Apply for Benefits (Retirement, Disability, SSI, Medicare), Appeal a Decision, Request Replacement Cards (Social Security, Change Address/Direct Deposit, Print Proof of Benefits, Get Replacement 1099, Review Earnings History, Get Benefit Estimates","ATM Withdrawals (after first free), Paper Statements, Funds Transfer, Card Replacement (after first free), Overnight Card Delivery, International Transactions",9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Closed,Closed
Social Security Administration,8,Social Security Office,4240 Market Street,Philadelphia,PA,19104,39.95756252,-75.20767295,(877) 445-9977; (800) 772-1213,Open,"Apply for Benefits (Retirement, Disability, SSI, Medicare), Appeal a Decision, Request Replacement Cards (Social Security, Change Address/Direct Deposit, Print Proof of Benefits, Get Replacement 1099, Review Earnings History, Get Benefit Estimates","ATM Withdrawals (after first free), Paper Statements, Funds Transfer, Card Replacement (after first free), Overnight Card Delivery, International Transactions",9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Closed,Closed
Social Security Administration,8,Social Security Office,2929 North Broad Street,Philadelphia,PA,19132,39.99882285,-75.15206814,(877) 319-0727; (800) 772-1213,Open,"Apply for Benefits (Retirement, Disability, SSI, Medicare), Appeal a Decision, Request Replacement Cards (Social Security, Change Address/Direct Deposit, Print Proof of Benefits, Get Replacement 1099, Review Earnings History, Get Benefit Estimates","ATM Withdrawals (after first free), Paper Statements, Funds Transfer, Card Replacement (after first free), Overnight Card Delivery, International Transactions",9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 12:00 PM*,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Closed,Closed
Social Security Administration,8,Social Security Office,"3336 South Broad Street, Stadium Plaza",Philadelphia,PA,19145,39.90890704,-75.17456813,(877) 575-5191; (800) 772-1213,Open,"Apply for Benefits (Retirement, Disability, SSI, Medicare), Appeal a Decision, Request Replacement Cards (Social Security, Change Address/Direct Deposit, Print Proof of Benefits, Get Replacement 1099, Review Earnings History, Get Benefit Estimates","ATM Withdrawals (after first free), Paper Statements, Funds Transfer, Card Replacement (after first free), Overnight Card Delivery, International Transactions",9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Closed,Closed
Social Security Administration,8,Social Security Office,"3400 Aramingo Avenue, Imperial Plaza",Philadelphia,PA,19134,39.99202639,-75.1005222,(855) 248-0233; (800) 772-1213,Open,"Apply for Benefits (Retirement, Disability, SSI, Medicare), Appeal a Decision, Request Replacement Cards (Social Security, Change Address/Direct Deposit, Print Proof of Benefits, Get Replacement 1099, Review Earnings History, Get Benefit Estimates","ATM Withdrawals (after first free), Paper Statements, Funds Transfer, Card Replacement (after first free), Overnight Card Delivery, International Transactions",9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 12:00 PM*,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Closed,Closed
Social Security Administration,8,Social Security Office,"300 Spring Garden Street, 4th Floor",Philadelphia,PA,19123,39.96058666,-75.14422092,(877) 701-2137,Open,"Apply for Benefits (Retirement, Disability, SSI, Medicare), Appeal a Decision, Request Replacement Cards (Social Security, Change Address/Direct Deposit, Print Proof of Benefits, Get Replacement 1099, Review Earnings History, Get Benefit Estimates","ATM Withdrawals (after first free), Paper Statements, Funds Transfer, Card Replacement (after first free), Overnight Card Delivery, International Transactions",8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,Closed,Closed
